Dish Name,Price,Url_of_the_food_Item
Creamy Tomato Thyme Soup,₹149,https://www.freshmenu.com/continental_summer_cooler_salad/product/14622
Roasted Garlic Chicken Soup,₹149,https://www.freshmenu.com/italian_cream_of_spinach_corn_soup/product/13752
Pulled Chicken Tikka Keto Meal,₹149,https://www.freshmenu.com/italian_creamy_tomato_thyme_soup/product/13749
Fiery Grilled Chicken Keto Meal,₹149,https://www.freshmenu.com/pan_asian_roasted_garlic_chicken_soup/product/2114
Crispy Shawarma Paneer Keto Meal,₹149,https://www.freshmenu.com/indian_pulled_chicken_tikka_keto_meal/product/14869
Cheesy Herbed Paneer Keto Meal,₹149,https://www.freshmenu.com/world_cuisine_fiery_grilled_chicken_keto_meal/product/14867
Mexican Corn And Paneer Salad,₹149,https://www.freshmenu.com/mediterranean_crispy_shawarma_paneer_keto_meal/product/14865
Citrus Chicken Tikka Salad,₹149,https://www.freshmenu.com/continental_cheesy_herbed_paneer_keto_meal/product/14863
Peanut Sesame Chicken Salad,₹149,https://www.freshmenu.com/continental_mexican_corn_and_paneer_salad/product/14911
Buffalo Chicken Salad,₹149,https://www.freshmenu.com/continental_citrus_chicken_tikka_salad/product/14910
Egg And Beans Salad,₹149,https://www.freshmenu.com/continental_peanut_sesame_chicken_salad/product/14909
Cabbage Millet And Bean Salad,₹149,https://www.freshmenu.com/continental_buffalo_chicken_salad/product/14908
Roasted Chicken And Vegetable Salad,₹149,https://www.freshmenu.com/continental_egg_and_beans_salad/product/14907
Chickpea And Paneer Salad,₹149,https://www.freshmenu.com/continental_cabbage_millet_and_bean_salad/product/14906
Ghee Roast Chicken Wrap,₹149,https://www.freshmenu.com/continental_roasted_chicken_and_vegetable_salad/product/14905
Kolkata Paneer Wrap,₹149,https://www.freshmenu.com/continental_chickpea_and_paneer_salad/product/14904
Chicken Tikka Wrap,₹149,https://www.freshmenu.com/north_indian_ghee_roast_chicken_wrap/product/12229
Shawarma Chicken Egg Wrap,₹149,https://www.freshmenu.com/north_indian_kolkata_paneer_wrap/product/11053
Paneer Popcorn Wrap,₹149,https://www.freshmenu.com/north_indian_chicken_tikka_wrap/product/9245
Butter Chicken Wrap,₹149,https://www.freshmenu.com/indian_shawarma_chicken_egg_wrap/product/13496
Masala Omelette Wrap,₹149,https://www.freshmenu.com/indian_paneer_popcorn_wrap/product/13332
Doner Chicken Wrap,₹149,https://www.freshmenu.com/indian_butter_chicken_wrap/product/13482
Shawarma Chicken Kubooz,₹149,https://www.freshmenu.com/indian_masala_omelette_wrap/product/12230
Spicy Chicken And Cheese Kubooz,₹149,https://www.freshmenu.com/indian_doner_chicken_wrap/product/13481
Paneer Jalapeno Tikka Kubooz,₹149,https://www.freshmenu.com/mediterranean_shawarma_chicken_kubooz/product/14249
Cheesy Chicken Popcorn Kubooz,₹149,https://www.freshmenu.com/mediterranean_spicy_chicken_and_cheese_kubooz/product/14317
Cilantro Bbq Paneer Kubooz,₹149,https://www.freshmenu.com/mediterranean_paneer_jalapeno_tikka_kubooz/product/14247
Peri Peri Grilled Paneer Tortilla Wrap,₹149,https://www.freshmenu.com/mediterranean_cheesy_chicken_popcorn_kubooz/product/14324
Paneer Jalapeno Tikka Tortilla Wrap,₹149,https://www.freshmenu.com/mediterranean_cilantro_bbq_paneer_kubooz/product/14320
